Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/01,01/29/2025 21:36,Wath upon Dearne,England,United Kingdom,Orb,I have been seeing them before but now I decided to report on here because it's becoming every night,Y,Aircraft?,
Open,2025/01,01/29/2025 21:30,,Trøndelag,Norway,Star,Looked like a star/orb with very bright light. Moved sideways then shot up in the sky at large speed.,,,
Open,2025/01,01/29/2025 21:30,Philipsburg,MT,USA,Circle,"We saw two lights moving slowly, fading in and out, several miles to our west.",Y,,
Open,2025/01,01/29/2025 21:18,El Pozo de Cota,Baja California Sur,Mexico,Light,"Bright object was stationary and had a reddish hue, with a shifting color pattern. Second object passed by and faded out.",Y,,
Open,2025/01,01/29/2025 21:10,Dunn,NC,USA,Orb,One reddish Light was first thought to be a planet due to the color and recollection of seeing Jupiter in the sky,Y,Chinese Lantern?,
Open,2025/01,01/29/2025 21:04,Dover,OH,USA,Triangle,Triangular craft spotted in ohio,Y,,
Open,2025/01,01/29/2025 20:36,Bheelon Ka Bedla,Rajasthan,India,Orb,"i saw several UFO coming from down to up, they flies randomly anywhere ,they are visible only for 4-5seconds then disappear",Y,,
Open,2025/01,01/29/2025 20:35,Greater Northdale,FL,USA,Orb,Large Orange Orb in Sky glowing stationary,,,
Open,2025/01,01/29/2025 20:30,Pahrump,NV,USA,Circle,Blackhawk helicopter chasing white orb.,,,
Open,2025/01,01/29/2025 20:00,Glenbrohane,County Limerick,Ireland,Light,"For the last couple of weeks, at night a warm light shines in a field across the road from my house, light moves unconventionally.",Y,,
Open,2025/01,01/29/2025 19:47,Fairwood,WA,USA,Other,Coming home from gym. Saw something like a tear drop to my right in the sky. Then after Couple seconds rapidly went straight down.,,,
Open,2025/01,01/29/2025 19:45,San Diego,CA,USA,Light,Circle of white light moving diagonally downward in the sky for a few seconds then completely disappearing.,,,
Open,2025/01,01/29/2025 19:40,Samobor,Zagreb County,Croatia,Light,White light turned red and disappeared,,Aircraft?,
Open,2025/01,01/29/2025 19:20,Taylorsville,KY,USA,Flash,"Observed a fast-moving light stop abruptly, reverse direction, then vanish. A second sighting followed, resembling a typical me",,,
Open,2025/01,01/29/2025 19:14,St. Louis,MO,USA,Cigar,I have picture and short video,Y,Rocket,
Open,2025/01,01/29/2025 18:20,Longview,WA,USA,Orb,I saw a huge white orb in the distance that looked like it was falling but did not have a trail.,,,
Open,2025/01,01/29/2025 09:25,Bloomingdale,MI,USA,Light,3 then 4 all disapered 5 more showed up then disappeared,,,
Open,2025/01,01/29/2025 06:10,Parachute,CO,USA,Orb,"Changing color Orb about 1,000ft high.",Y,,
Open,2025/01,01/29/2025 05:36,Spokane,WA,USA,Star,Quick scan of chilly early morning skies and a bogey,,,
Open,2025/01,01/29/2025 02:00,Tremont,ME,USA,Orb,Watched Orbs fly across the tree line,Y,,
Open,2025/01,01/28/2025 22:17,Summerville,SC,USA,Triangle,"Moving slow and very low, flying almost sideways and very large. Didn’t make a normal plane or helicopter sound.",,,
Open,2025/01,01/28/2025 21:02,Waukesha,WI,USA,Other,Thought it was a shooting star until it got closer and saw more objects approaching with it then it faded,,Meteor,
Open,2025/01,01/28/2025 21:00,Pageland,SC,USA,Chevron,Looked up and saw V moving overhead and behind some trees. 200-300 ft above the ground and about 40-50 ft wide.,,,
Open,2025/01,01/28/2025 21:00,Thynedale,VA,USA,Light,strobing light exiting atmosphere or disappearing,,,
Open,2025/01,01/28/2025 20:47,Urbana,OH,USA,Light,"On Jan 28th, 2025, I witnessed a silent, low-flying UFO with complex lights & turns that didn’t match C-17 flight data.",Y,Aircraft,
Open,2025/01,01/28/2025 20:35,Red Lion,PA,USA,Orb,Very bright star like light in sky followed by descending shooting flash immediately followed by smaller ascending lights,,,
Open,2025/01,01/28/2025 20:33,Sabina,OH,USA,Unknown,"A green-lit object appeared above me, phased in/out, turned red underneath, then vanished at high speed in a blink.",,Drone?,
Open,2025/01,01/28/2025 19:32,Formby,England,United Kingdom,Orb,Pulsating green light moved swiftly in straight lines across the sky before disappearing,Y,Drone?,
Open,2025/01,01/28/2025 19:30,Circle Oaks,CA,USA,Other,Faster than a propeller slower than a jet no sound,Y,,
Open,2025/01,01/28/2025 19:20,Coloma,WI,USA,Orb,"Stationary light, dimmed as if moving away from sight, the reappeared brighter and lower to the ground/horizon. Lit surrounding clouds",Y,,
Open,2025/01,01/28/2025 19:00,Montgomery,OH,USA,Sphere,"A glittering red, green and white ball of light crossed the entire sky, from northeast to southwest, in three seconds. No sound.",,,
Open,2025/01,01/28/2025 18:50,Saipan,Saipan,Northern Mariana Islands,Triangle,"After seeing the ISS, we noticed, going the opposite was triangular craft, with 3 red lights at each point, one of what was blinking",,,
Open,2025/01,01/28/2025 18:24,Macclesfield,England,United Kingdom,Circle,"I saw two circular spinning silver discs above Ryles Park Road, Macclesfield",,,
Open,2025/01,01/28/2025 17:46,Tumwater,WA,USA,Triangle,"I saw a black Triangle with (1) green light on one corner and (1) red light opposite, it was accompanied with an Orb",,,
Open,2025/01,01/28/2025 17:45,Camp Hill,PA,USA,Orb,A blue/white object moving west that you might think was an airplane.,,Aircraft?,
